ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
3605,Mon Mar 24 13:19:10 IST 2025,Mon Mar 24 13:19:10 IST 2025,GET,http://127.0.0.1:9090/login.php,200,OK,21,272,2093
3607,Mon Mar 24 13:19:10 IST 2025,Mon Mar 24 13:19:10 IST 2025,POST,http://127.0.0.1:9090/login.php,302,Found,4,281,0
3608,Mon Mar 24 13:19:10 IST 2025,Mon Mar 24 13:19:10 IST 2025,GET,http://127.0.0.1:9090/setup.php,200,OK,2,272,4145
3610,Mon Mar 24 13:19:10 IST 2025,Mon Mar 24 13:19:10 IST 2025,GET,http://127.0.0.1:9090/docs,301,Moved Permanently,2,208,312
3611,Mon Mar 24 13:19:10 IST 2025,Mon Mar 24 13:19:10 IST 2025,POST,http://127.0.0.1:9090/setup.php,302,Found,18,282,0
3612,Mon Mar 24 13:19:10 IST 2025,Mon Mar 24 13:19:10 IST 2025,GET,http://127.0.0.1:9090/login.php,200,OK,16,272,2093
3614,Mon Mar 24 13:19:10 IST 2025,Mon Mar 24 13:19:10 IST 2025,GET,http://127.0.0.1:9090/setup.php,200,OK,2,272,4145
3616,Mon Mar 24 13:19:10 IST 2025,Mon Mar 24 13:19:10 IST 2025,POST,http://127.0.0.1:9090/login.php,302,Found,4,281,0
3617,Mon Mar 24 13:19:10 IST 2025,Mon Mar 24 13:19:10 IST 2025,GET,http://127.0.0.1:9090/login.php,200,OK,15,272,2093
3618,Mon Mar 24 13:19:10 IST 2025,Mon Mar 24 13:19:10 IST 2025,POST,http://127.0.0.1:9090/setup.php,302,Found,22,282,0
3620,Mon Mar 24 13:19:10 IST 2025,Mon Mar 24 13:19:10 IST 2025,GET,http://127.0.0.1:9090/dvwa,301,Moved Permanently,1,208,312
3621,Mon Mar 24 13:19:10 IST 2025,Mon Mar 24 13:19:10 IST 2025,POST,http://127.0.0.1:9090/login.php,302,Found,2,281,0
3622,Mon Mar 24 13:19:10 IST 2025,Mon Mar 24 13:19:10 IST 2025,GET,http://127.0.0.1:9090/dvwa/css,301,Moved Permanently,0,212,316
